tCommon,wGO,wPS,wSi,wPR,wTGA
100,1.00000488022627,0.999982198314019,1,0.999994391176515,0.999998516365115
105.050505050505,0.99924861822986,1.00017969688583,1,0.999652010704351,0.999734128790909
110.10101010101,0.998106971482525,1.00017060051284,1,0.999154264805217,0.999275714491989
115.151515151515,0.996899024328054,1.00011201895361,1,0.998371163833836,0.998781229389269
120.20202020202,0.995281680980678,1.00012254004637,1,0.997248277292633,0.998136322621221
125.252525252525,0.993130467191009,0.999999626858091,1,0.995714556611266,0.997252114860016
130.30303030303,0.990536540278407,0.999854029376619,1,0.993636451803644,0.99618644378105
135.353535353535,0.987167696181838,0.999851272830276,1,0.991073465680685,0.994838374128979
140.40404040404,0.982887788424417,0.999678665018965,1,0.987815048643142,0.993093097718427
145.454545454545,0.97732770885185,0.999495110620096,1,0.983787845649428,0.990833639890419
150.505050505051,0.970024677639916,0.999262627375321,1,0.978987418466748,0.987867558139403
155.555555555556,0.96052474530824,0.999089466238923,1,0.973440915764861,0.984034165107408
160.606060606061,0.948240386276017,0.998665469022827,1,0.966970483661653,0.979038590031812
165.656565656566,0.932791732503131,0.998433369689536,1,0.959565610024797,0.972814333351333
170.707070707071,0.914103455273609,0.997945058128553,1,0.950962182442096,0.965244778328254
175.757575757576,0.891901855436602,0.997497261650214,1,0.941194803260511,0.956277713673132
180.808080808081,0.866529221761867,0.99704340696242,1,0.930252777484462,0.946041066248494
185.858585858586,0.838671671664242,0.996468654275784,1,0.918227241691766,0.934787118940923
190.909090909091,0.81120475352179,0.995735425838005,1,0.905738736061775,0.923658838595451
195.959595959596,0.787134400647607,0.994775021586207,1,0.893757104431367,0.913845339425181
201.010101010101,0.76774409918628,0.993717881274745,1,0.883202320640298,0.905885190760538
206.060606060606,0.753069990460218,0.992175766443145,1,0.874768184249696,0.899717919107614
211.111111111111,0.74233652655131,0.990627020317176,1,0.868286400715267,0.895125625541739
216.161616161616,0.734493502154545,0.988532933209602,1,0.863431601447235,0.891584256971271
221.212121212121,0.728099925567073,0.985983717278628,1,0.859610786238575,0.888534827661605
226.262626262626,0.722403962770229,0.982914566511948,1,0.856071300162965,0.885664096444898
231.313131313131,0.717019650264284,0.979306557320739,1,0.852482424059278,0.882814025668616
236.363636363636,0.711272156414257,0.97470269969898,1,0.848579786987276,0.879626483607606
241.414141414141,0.705488684523338,0.969008990836115,1,0.84410386837209,0.876214209040706
246.464646464646,0.699469353386671,0.961928625746399,1,0.839317693212646,0.872439966123723
251.515151515152,0.693205696117798,0.952489459882997,1,0.834443014050555,0.868112744204538
256.565656565657,0.686847930496927,0.938602315830768,1,0.829485110864605,0.862889419154109
261.616161616162,0.680233990942139,0.920592240536327,1,0.824935410158163,0.856767898800367
266.666666666667,0.673431544719124,0.899961417342701,1,0.820507453109271,0.850065171434791
271.717171717172,0.666515523248507,0.875517542304011,1,0.816431721152461,0.842581094964077
276.767676767677,0.659617308665851,0.847747442324797,1,0.812531649801764,0.834462179835026
281.818181818182,0.652692927192206,0.823423681198244,1,0.808984927633112,0.826997941348143
286.868686868687,0.646018100947914,0.802260364930596,1,0.805743502240716,0.820243490810771
291.919191919192,0.639442193709368,0.788174630642701,1,0.803077556218578,0.814894581197789
296.969696969697,0.633202640974879,0.777768549730912,1,0.799856572555007,0.810390386488017
302.020202020202,0.627310665997691,0.771186401813776,1,0.798076496130886,0.806763241949135
307.070707070707,0.621810357703446,0.766562778303135,1,0.796128551052451,0.803670759293883
312.121212121212,0.616925408096067,0.762743331749582,1,0.79398210478502,0.800979626266096
317.171717171717,0.612321810106391,0.759139264252958,1,0.793071854970356,0.798442602043377
322.222222222222,0.608365203839757,0.755777071451666,1,0.790355315124989,0.796211056326074
327.272727272727,0.604898552117588,0.751934624761641,1,0.787449396601828,0.794082803426032
332.323232323232,0.601868644184616,0.747363279797293,1,0.784824242817178,0.791988570674724
337.373737373737,0.59968388971732,0.741731837368947,1,0.781593303208426,0.790027800499135
342.424242424242,0.596757998175464,0.736189318853662,1,0.7782978107052,0.787787737808942
347.474747474747,0.594566711802045,0.730730545926238,1,0.77435327785294,0.785857680084582
352.525252525253,0.592521125349293,0.725457928283,1,0.769930049667358,0.784021830298336
357.575757575758,0.590516190905411,0.718894024646697,1,0.76467832169582,0.781953023118977
362.626262626263,0.588790830975354,0.709622743120088,1,0.758358875951029,0.779473521812319
367.676767676768,0.587059702915423,0.698624065360022,1,0.750791819030218,0.776658325780653
372.727272727273,0.585434544826985,0.683390991670135,1,0.741839340915501,0.77306827932313
377.777777777778,0.583892477571185,0.662897347137057,1,0.73137815042224,0.768496179025926
382.828282828283,0.582290488144487,0.633175303255172,1,0.721307104781938,0.762119028786043
387.878787878788,0.580839874777934,0.59235034447484,1,0.706797485236841,0.753659566394817
392.929292929293,0.579282258043763,0.536498004056626,1,0.691251116366178,0.742257018000434
397.979797979798,0.577802769400107,0.462836110564959,1,0.675382625601862,0.72744847709908
403.030303030303,0.576201006305019,0.370219454313429,1,0.660136898459248,0.708932757204499
408.080808080808,0.574740454957172,0.267245173790942,1,0.648499531119349,0.68847450052452
413.131313131313,0.573222926682383,0.172320210337386,1,0.641614502358371,0.669546971268069
418.181818181818,0.57177905145181,0.099896070749108,1,0.638184844547261,0.654991562235302
423.232323232323,0.57035951216517,0.0534169075480824,1,0.636234962685308,0.645453268022848
428.282828282828,0.568836246230707,0.0269908762067761,1,0.63488151621778,0.639743737600191
433.333333333333,0.56745581198035,0.0126903487251968,1,0.634005501907628,0.636431562096103
438.383838383838,0.56608159658763,0.00580978867711702,1,0.633343736483151,0.634553927849735
443.434343434343,0.564653382566438,0.0032083752585045,1,0.632702582263654,0.633480569451467
448.484848484848,0.563223716302479,0.0025638862726452,1,0.632162105621532,0.632784316571612
453.535353535354,0.561844070436616,0.00235858469471204,1,0.63169713690933,0.632192835020726
458.585858585859,0.560507149222214,0.00207227985068621,1,0.631435642647248,0.631602809700068
463.636363636364,0.559067724802443,0.0019959791561362,1,0.63173209650588,0.631012313898111
468.686868686869,0.557819177048638,0.00176370139712792,1,0.635042890519312,0.630468065189101
473.737373737374,0.557004400553657,0.0015117527203427,1,0.632329904204385,0.630093528496489
478.787878787879,0.555257422743236,0.00128769701822792,1,0.631461966094235,0.629351494621812
483.838383838384,0.553719890670548,0.00100581365809358,1,0.631020179346253,0.628682078304232
488.888888888889,0.552456821308603,0.000753543870932867,1,0.630717524467662,0.628128162490531
493.939393939394,0.551167284759612,0.00043921109633421,1,0.630478774088008,0.627551681645437
498.989898989899,0.549720359534157,0.000151658358458305,1,0.630197921452822,0.626917413876845
504.040404040404,0.54828393795563,0,1,0.629944548416318,0.626313575182252
509.090909090909,0.547019205917754,0,1,0.629524166946334,0.625807682367101
514.141414141414,0.546950758983974,0,1,0.6289972016716,0.62578030359359
519.191919191919,0.544622116657791,0,1,0.628516491219893,0.624848846663116
524.242424242424,0.540396593094634,0,1,0.627773010458854,0.623158637237854
529.292929292929,0.535405652476969,0,1,0.627016442967095,0.621162260990788
534.343434343434,0.53423262528744,0,1,0.626268612399453,0.620693050114976
539.393939393939,0.53296745694689,0,1,0.625629778945688,0.620186982778756
544.444444444444,0.531841322604345,0,1,0.624788736874145,0.619736529041738
549.494949494949,0.53065453246448,0,1,0.623998534974031,0.619261812985792
554.545454545455,0.529555068782433,0,1,0.623210051043007,0.618822027512973
559.59595959596,0.528395520395346,0,1,0.622433728294592,0.618358208158138
564.646464646465,0.527261887789372,0,1,0.621902884268482,0.617904755115749
569.69696969697,0.526184346094621,0,1,0.62120645084746,0.617473738437848
574.747474747475,0.52504115254295,0,1,0.620525570783685,0.61701646101718
579.79797979798,0.524095264750797,0,1,0.619854440639301,0.616638105900319
584.848484848485,0.522980580107135,0,1,0.619389753299164,0.616192232042854
589.89898989899,0.522014396734126,0,1,0.618614152703987,0.61580575869365
594.949494949495,0.521050936047917,0,1,0.617962752321389,0.615420374419167
600,0.520268007026457,0,1,0.617302668091216,0.615107202810583
